notif_id,user_id,daily_notifications,muted_count
4000,1000,207,55
4001,1001,183,74
4002,1002,85,8
4003,1003,120,17
4004,1004,270,57
4005,1005,152,25
4006,1006,309,15
4007,1007,70,77
4008,1008,325,51
4009,1009,55,57
4010,1010,282,48
4011,1011,178,57
4012,1012,202,58
4013,1013,174,34
4014,1014,185,66
4015,1015,131,48
4016,1016,226,3
4017,1017,237,57
4018,1018,149,31
4019,1019,122,48
4020,1020,221,35
4021,1021,302,47
4022,1022,67,3
4023,1023,159,35
4024,1024,91,55
4025,1025,107,39
4026,1026,207,68
4027,1027,89,6
4028,1028,162,50
4029,1029,225,7
4030,1030,261,31
4031,1031,223,11
4032,1032,61,3
4033,1033,65,64
4034,1034,234,13
4035,1035,255,36
4036,1036,125,25
4037,1037,149,47
4038,1038,261,44
4039,1039,124,7
4040,1040,198,48
4041,1041,43,43
4042,1042,233,10
4043,1043,118,53
4044,1044,102,75
4045,1045,65,42
4046,1046,250,50
4047,1047,314,16
4048,1048,344,68
4049,1049,161,48
4050,1050,81,30
4051,1051,323,65
4052,1052,238,51
4053,1053,329,53
4054,1054,129,66
4055,1055,305,66
4056,1056,139,72
4057,1057,296,30
4058,1058,155,71
4059,1059,182,56
4060,1060,210,50
4061,1061,238,20
4062,1062,187,18
4063,1063,231,7
4064,1064,174,74
4065,1065,240,25
4066,1066,63,7
4067,1067,151,79
4068,1068,44,3
4069,1069,156,71
4070,1070,198,70
4071,1071,101,10
4072,1072,286,37
4073,1073,343,7
4074,1074,219,39
4075,1075,251,49
4076,1076,133,71
4077,1077,41,38
4078,1078,271,74
4079,1079,191,62
4080,1080,239,22
4081,1081,118,26
4082,1082,329,30
4083,1083,321,12
4084,1084,343,63
4085,1085,143,67
4086,1086,191,33
4087,1087,338,63
4088,1088,284,75
4089,1089,318,64
4090,1090,81,53
4091,1091,55,20
4092,1092,60,41
4093,1093,307,20
4094,1094,203,33
4095,1095,333,43
4096,1096,133,4
4097,1097,47,50
4098,1098,115,44
4099,1099,243,44
4100,1100,133,44
4101,1101,146,37
4102,1102,61,44
4103,1103,328,76
4104,1104,137,12
4105,1105,47,65
4106,1106,206,31
4107,1107,237,26
4108,1108,159,58
4109,1109,170,21
4110,1110,216,35
4111,1111,76,77
4112,1112,270,69
4113,1113,260,61
4114,1114,257,70
4115,1115,54,68
4116,1116,120,75
4117,1117,304,38
4118,1118,317,39
4119,1119,254,56
4120,1120,137,25
4121,1121,287,51
4122,1122,347,34
4123,1123,59,23
4124,1124,324,45
4125,1125,241,29
4126,1126,349,3
4127,1127,67,68
4128,1128,128,19
4129,1129,276,39
4130,1130,336,78
4131,1131,143,56
4132,1132,262,49
4133,1133,279,1
4134,1134,231,52
4135,1135,125,2
4136,1136,265,55
4137,1137,191,0
4138,1138,105,67
4139,1139,77,38
4140,1140,342,29
4141,1141,329,36
4142,1142,202,73
4143,1143,156,63
4144,1144,299,2
4145,1145,141,29
4146,1146,296,63
4147,1147,300,26
4148,1148,344,65
4149,1149,137,37
4150,1150,147,43
4151,1151,205,11
4152,1152,112,17
4153,1153,195,73
4154,1154,230,31
4155,1155,81,19
4156,1156,303,49
4157,1157,285,30
4158,1158,273,69
4159,1159,59,32
4160,1160,47,64
4161,1161,65,14
4162,1162,232,20
4163,1163,177,34
4164,1164,236,21
4165,1165,289,65
4166,1166,111,2
4167,1167,88,62
4168,1168,328,30
4169,1169,293,60
4170,1170,190,69
4171,1171,104,66
4172,1172,144,51
4173,1173,225,34
4174,1174,316,79
4175,1175,159,60
4176,1176,220,67
4177,1177,288,21
4178,1178,142,54
4179,1179,174,72
4180,1180,88,40
4181,1181,80,53
4182,1182,120,60
4183,1183,135,44
4184,1184,268,24
4185,1185,91,6
4186,1186,52,74
4187,1187,45,54
4188,1188,139,32
4189,1189,81,65
4190,1190,243,50
4191,1191,164,36
4192,1192,310,49
4193,1193,72,46
4194,1194,242,69
4195,1195,64,47
4196,1196,277,34
4197,1197,231,24
4198,1198,242,43
4199,1199,267,3
4200,1200,129,49
4201,1201,318,43
4202,1202,40,14
4203,1203,288,69
4204,1204,140,46
4205,1205,95,37
4206,1206,40,49
4207,1207,213,55
4208,1208,317,68
4209,1209,40,27
4210,1210,194,15
4211,1211,220,40
4212,1212,343,31
4213,1213,154,72
4214,1214,311,24
4215,1215,149,76
4216,1216,113,36
4217,1217,166,20
4218,1218,172,15
4219,1219,313,78
4220,1220,46,22
4221,1221,112,22
4222,1222,208,33
4223,1223,346,16
4224,1224,85,75
4225,1225,89,60
4226,1226,251,61
4227,1227,238,45
4228,1228,305,6
4229,1229,69,9
4230,1230,119,45
4231,1231,217,67
4232,1232,136,8
4233,1233,80,15
4234,1234,78,74
4235,1235,133,3
4236,1236,109,21
4237,1237,347,40
4238,1238,116,22
4239,1239,42,12
4240,1240,220,28
4241,1241,104,20
4242,1242,193,50
4243,1243,306,4
4244,1244,260,69
4245,1245,96,66
4246,1246,301,33
4247,1247,53,20
4248,1248,94,15
4249,1249,116,41
4250,1250,67,14
4251,1251,223,79
4252,1252,287,59
4253,1253,59,57
4254,1254,65,32
4255,1255,189,33
4256,1256,245,35
4257,1257,333,27
4258,1258,343,30
4259,1259,43,35
4260,1260,119,38
4261,1261,140,39
4262,1262,214,51
4263,1263,331,53
4264,1264,97,4
4265,1265,311,40
4266,1266,94,13
4267,1267,338,17
4268,1268,94,31
4269,1269,327,30
4270,1270,48,14
4271,1271,336,51
4272,1272,152,46
4273,1273,52,10
4274,1274,57,64
4275,1275,139,8
4276,1276,152,38
4277,1277,245,19
4278,1278,180,37
4279,1279,226,17
4280,1280,175,61
4281,1281,266,68
4282,1282,215,49
4283,1283,295,24
4284,1284,124,70
4285,1285,279,38
4286,1286,83,28
4287,1287,288,40
4288,1288,200,62
4289,1289,176,33
4290,1290,221,52
4291,1291,281,54
4292,1292,309,1
4293,1293,303,75
4294,1294,301,29
4295,1295,116,27
4296,1296,157,43
4297,1297,81,60
4298,1298,69,35
4299,1299,322,15
4300,1300,303,29
4301,1301,63,61
4302,1302,113,18
4303,1303,273,16
4304,1304,271,20
4305,1305,59,78
4306,1306,300,51
4307,1307,56,41
4308,1308,63,9
4309,1309,347,15
4310,1310,235,30
4311,1311,48,20
4312,1312,72,18
4313,1313,294,17
4314,1314,148,35
4315,1315,274,53
4316,1316,312,71
4317,1317,93,67
4318,1318,155,8
4319,1319,70,50
4320,1320,202,11
4321,1321,283,11
4322,1322,126,8
4323,1323,348,17
4324,1324,62,23
4325,1325,283,69
4326,1326,342,27
4327,1327,69,66
4328,1328,84,18
4329,1329,190,21
4330,1330,287,5
4331,1331,315,8
4332,1332,198,18
4333,1333,181,14
4334,1334,270,48
4335,1335,296,38
4336,1336,262,55
4337,1337,145,31
4338,1338,170,27
4339,1339,256,51
4340,1340,307,61
4341,1341,205,53
4342,1342,256,66
4343,1343,241,40
4344,1344,346,62
4345,1345,242,32
4346,1346,63,36
4347,1347,249,56
4348,1348,99,28
4349,1349,66,7
4350,1350,81,23
4351,1351,162,66
4352,1352,110,77
4353,1353,327,7
4354,1354,348,0
4355,1355,75,37
4356,1356,160,36
4357,1357,149,62
4358,1358,113,38
4359,1359,210,76
4360,1360,190,3
4361,1361,199,16
4362,1362,55,35
4363,1363,60,51
4364,1364,219,19
4365,1365,135,2
4366,1366,339,8
4367,1367,144,33
4368,1368,321,19
4369,1369,61,45
4370,1370,246,26
4371,1371,253,26
4372,1372,48,56
4373,1373,311,13
4374,1374,189,27
4375,1375,48,60
4376,1376,104,28
4377,1377,62,54
4378,1378,108,44
4379,1379,191,49
4380,1380,217,61
4381,1381,174,62
4382,1382,222,53
4383,1383,172,24
4384,1384,44,73
4385,1385,313,42
4386,1386,48,41
4387,1387,212,73
4388,1388,273,63
4389,1389,310,59
4390,1390,139,23
4391,1391,310,41
4392,1392,296,78
4393,1393,254,61
4394,1394,92,60
4395,1395,194,56
4396,1396,301,50
4397,1397,126,52
4398,1398,177,17
4399,1399,267,75
4400,1400,244,66
4401,1401,267,48
4402,1402,318,77
4403,1403,105,48
4404,1404,161,31
4405,1405,265,43
4406,1406,285,56
4407,1407,106,8
4408,1408,182,25
4409,1409,63,39
4410,1410,190,9
4411,1411,311,49
4412,1412,192,13
4413,1413,103,17
4414,1414,318,53
4415,1415,85,19
4416,1416,216,43
4417,1417,292,6
4418,1418,258,29
4419,1419,75,46
4420,1420,285,52
4421,1421,192,7
4422,1422,58,31
4423,1423,101,9
4424,1424,239,33
4425,1425,247,27
4426,1426,90,19
4427,1427,307,14
4428,1428,166,59
4429,1429,240,22
4430,1430,291,15
4431,1431,223,78
4432,1432,52,13
4433,1433,53,49
4434,1434,276,63
4435,1435,287,74
4436,1436,73,61
4437,1437,100,65
4438,1438,343,44
4439,1439,146,41
4440,1440,187,72
4441,1441,162,75
4442,1442,247,21
4443,1443,168,67
4444,1444,169,38
4445,1445,99,65
4446,1446,92,1
4447,1447,142,10
4448,1448,122,37
4449,1449,60,63
4450,1450,168,67
4451,1451,85,25
4452,1452,72,32
4453,1453,88,57
4454,1454,61,74
4455,1455,173,26
4456,1456,48,59
4457,1457,180,77
4458,1458,210,5
4459,1459,76,50
4460,1460,201,15
4461,1461,93,12
4462,1462,246,77
4463,1463,152,54
4464,1464,250,15
4465,1465,330,53
4466,1466,315,16
4467,1467,163,57
4468,1468,117,3
4469,1469,236,57
4470,1470,74,48
4471,1471,344,25
4472,1472,172,62
4473,1473,91,32
4474,1474,171,46
4475,1475,314,74
4476,1476,130,39
4477,1477,129,32
4478,1478,328,52
4479,1479,80,46
4480,1480,136,4
4481,1481,199,30
4482,1482,107,28
4483,1483,156,7
4484,1484,91,34
4485,1485,230,39
4486,1486,268,31
4487,1487,173,39
4488,1488,343,51
4489,1489,126,54
4490,1490,143,14
4491,1491,141,55
4492,1492,83,46
4493,1493,339,16
4494,1494,75,77
4495,1495,101,35
4496,1496,106,67
4497,1497,207,51
4498,1498,59,74
4499,1499,82,63
4500,1500,187,39
4501,1501,160,41
4502,1502,306,50
4503,1503,273,27
4504,1504,64,29
4505,1505,301,75
4506,1506,110,59
4507,1507,85,77
4508,1508,44,32
4509,1509,313,71
4510,1510,151,44
4511,1511,187,44
4512,1512,217,53
4513,1513,54,68
4514,1514,156,40
4515,1515,145,74
4516,1516,333,58
4517,1517,305,70
4518,1518,311,36
4519,1519,128,72
