sleep_id,user_id,sleep_hours,sleep_quality_score,phone_before_bed
3000,1000,7.1,4.9,No
3001,1001,6.5,8.9,Yes
3002,1002,5.8,7.9,No
3003,1003,5.5,8.5,No
3004,1004,5.3,7.8,Yes
3005,1005,8.0,5.2,Yes
3006,1006,6.8,6.7,Yes
3007,1007,8.2,7.8,Yes
3008,1008,4.7,9.2,Yes
3009,1009,4.8,4.7,Yes
3010,1010,6.9,7.7,Yes
3011,1011,4.6,7.8,Yes
3012,1012,6.2,5.5,Yes
3013,1013,5.7,4.5,Yes
3014,1014,7.8,5.8,Yes
3015,1015,7.1,7.9,No
3016,1016,7.4,6.4,Yes
3017,1017,7.2,5.1,Yes
3018,1018,6.7,6.0,Yes
3019,1019,4.0,4.3,Yes
3020,1020,6.4,9.1,Yes
3021,1021,8.1,8.9,No
3022,1022,7.1,8.2,Yes
3023,1023,5.9,7.6,Yes
3024,1024,8.5,8.8,Yes
3025,1025,6.0,6.7,Yes
3026,1026,8.4,5.5,Yes
3027,1027,8.8,5.8,No
3028,1028,8.6,5.2,Yes
3029,1029,6.0,9.0,Yes
3030,1030,6.0,6.8,Yes
3031,1031,3.9,7.5,Yes
3032,1032,5.3,5.1,No
3033,1033,7.1,6.5,Yes
3034,1034,7.1,5.7,Yes
3035,1035,4.9,8.4,Yes
3036,1036,9.0,8.4,Yes
3037,1037,8.8,7.3,Yes
3038,1038,7.6,8.7,Yes
3039,1039,6.3,7.2,No
3040,1040,7.9,7.6,Yes
3041,1041,6.7,8.2,Yes
3042,1042,7.3,9.3,Yes
3043,1043,5.6,9.1,Yes
3044,1044,8.0,8.5,Yes
3045,1045,8.4,9.4,Yes
3046,1046,5.2,8.9,Yes
3047,1047,6.0,7.6,Yes
3048,1048,6.7,7.4,Yes
3049,1049,5.2,5.9,Yes
3050,1050,7.8,7.9,Yes
3051,1051,8.0,6.3,No
3052,1052,7.1,8.8,Yes
3053,1053,5.1,7.4,No
3054,1054,5.8,4.2,Yes
3055,1055,9.9,7.4,No
3056,1056,7.3,4.5,Yes
3057,1057,5.0,8.8,No
3058,1058,6.9,6.2,No
3059,1059,7.5,4.8,Yes
3060,1060,7.5,8.3,Yes
3061,1061,6.2,7.9,Yes
3062,1062,6.8,7.1,Yes
3063,1063,6.9,5.8,Yes
3064,1064,6.2,4.8,Yes
3065,1065,4.1,5.6,Yes
3066,1066,6.9,5.0,Yes
3067,1067,7.7,6.0,No
3068,1068,6.8,6.9,Yes
3069,1069,6.3,4.5,Yes
3070,1070,8.3,6.7,Yes
3071,1071,6.8,8.5,Yes
3072,1072,7.1,7.8,Yes
3073,1073,6.7,6.7,Yes
3074,1074,6.2,4.3,Yes
3075,1075,6.3,7.6,Yes
3076,1076,7.9,5.3,Yes
3077,1077,5.4,7.0,No
3078,1078,8.3,4.1,Yes
3079,1079,8.6,6.5,Yes
3080,1080,3.6,9.1,Yes
3081,1081,4.8,9.0,Yes
3082,1082,5.5,6.8,No
3083,1083,6.3,8.2,Yes
3084,1084,7.5,9.1,No
3085,1085,6.5,8.6,No
3086,1086,4.4,4.2,Yes
3087,1087,8.0,7.4,No
3088,1088,9.1,9.0,No
3089,1089,5.5,6.5,No
3090,1090,8.1,9.4,Yes
3091,1091,6.1,7.7,Yes
3092,1092,4.7,5.8,No
3093,1093,6.0,4.8,Yes
3094,1094,7.3,5.5,Yes
3095,1095,4.5,6.7,No
3096,1096,4.9,8.2,No
3097,1097,6.7,8.9,Yes
3098,1098,6.0,5.3,Yes
3099,1099,5.6,5.2,No
3100,1100,6.4,7.9,Yes
3101,1101,6.4,5.4,No
3102,1102,8.9,7.6,Yes
3103,1103,8.6,4.0,No
3104,1104,5.9,8.2,Yes
3105,1105,5.2,7.0,Yes
3106,1106,5.7,8.5,No
3107,1107,6.6,8.1,Yes
3108,1108,9.1,4.2,Yes
3109,1109,6.4,9.1,Yes
3110,1110,7.3,6.0,Yes
3111,1111,8.0,5.6,Yes
3112,1112,4.7,6.9,No
3113,1113,6.4,5.9,Yes
3114,1114,8.8,6.1,Yes
3115,1115,4.5,7.9,Yes
3116,1116,6.6,6.6,Yes
3117,1117,10.0,4.1,Yes
3118,1118,5.2,4.8,No
3119,1119,7.3,9.0,Yes
3120,1120,4.9,7.7,No
3121,1121,5.0,8.7,No
3122,1122,6.4,9.4,Yes
3123,1123,9.6,8.2,Yes
3124,1124,4.5,4.4,Yes
3125,1125,3.9,7.6,No
3126,1126,6.1,5.3,Yes
3127,1127,6.2,7.0,Yes
3128,1128,8.4,7.9,Yes
3129,1129,5.1,6.8,Yes
3130,1130,8.2,6.0,Yes
3131,1131,6.1,5.4,Yes
3132,1132,4.1,6.8,Yes
3133,1133,8.1,7.8,Yes
3134,1134,6.7,8.9,No
3135,1135,3.7,7.7,No
3136,1136,8.2,8.5,Yes
3137,1137,5.4,5.3,Yes
3138,1138,8.5,5.3,Yes
3139,1139,5.5,5.3,Yes
3140,1140,6.2,4.7,Yes
3141,1141,8.2,6.3,Yes
3142,1142,5.3,8.6,No
3143,1143,6.8,8.8,Yes
3144,1144,7.2,8.3,No
3145,1145,7.1,9.0,Yes
3146,1146,7.0,7.6,Yes
