User_ID,Age,Gender,Daily_Usage_Hours,Phone_Usage_Before_Sleep,Anxiety_Without_Phone,Checks_Per_Hour,Impact_On_Daily_Life,Time_Without_Checking_Phone_Min,Smartphone_Addiction
USR_01000,22,Other,4.6,High,High,8,Low,199,0
USR_01001,30,Male,7.0,High,Moderate,9,Moderate,148,-1
USR_01002,26,Male,6.9,None,High,8,None,147,0
USR_01003,23,Female,6.8,High,High,8,None,29,0
USR_01004,22,Male,5.6,Moderate,High,12,Moderate,204,0
USR_01005,34,Female,5.9,Low,Moderate,10,Moderate,237,0
USR_01006,26,Other,6.0,High,Moderate,8,High,8,0
USR_01007,26,Female,4.1,High,High,11,Low,36,0
USR_01008,19,Female,8.7,Moderate,None,4,High,177,0
USR_01009,23,Male,8.4,Moderate,High,10,Moderate,188,0
USR_01010,18,Male,7.2,Moderate,Moderate,10,High,39,1
USR_01011,17,Female,4.6,High,None,12,None,185,0
USR_01012,27,Female,6.7,Moderate,Moderate,3,High,34,0
USR_01013,21,Female,7.7,Moderate,Moderate,8,Low,107,1
USR_01014,17,Male,2.8,Moderate,High,10,Moderate,116,1
USR_01015,16,Male,9.2,High,Low,4,High,53,0
USR_01016,27,Male,1.7,Moderate,Moderate,7,Low,98,0
USR_01017,27,Female,7.1,None,Low,8,High,213,0
USR_01018,32,Male,8.7,Moderate,High,6,High,87,0
USR_01019,25,Female,5.3,Moderate,Moderate,6,Low,184,0
USR_01020,31,Female,5.2,Moderate,Low,7,High,227,1
USR_01021,30,Male,7.0,Low,None,9,High,213,0
USR_01022,30,Female,9.6,None,High,10,Moderate,134,1
USR_01023,34,Male,4.9,High,Low,10,Moderate,191,1
USR_01024,27,Female,3.8,High,High,7,Low,169,0
USR_01025,18,Female,4.6,High,Moderate,10,High,33,1
USR_01026,20,Female,2.1,High,High,8,High,162,0
USR_01027,34,Female,7.5,High,Moderate,7,High,122,0
USR_01028,22,Male,4.4,Low,High,7,Moderate,239,0
