log_id,user_id,log_date,screen_time,unlocks,day_type
500000,2694,2026-02-12,5.7,67,Weekday
500001,2883,2025-12-11,11.9,68,Weekday
500002,2371,2026-02-08,7.9,67,Weekend
500003,1797,2025-12-03,2.9,63,Weekday
500004,1017,2026-03-01,5.9,72,Weekend
500005,1043,2026-02-09,6.5,60,Weekday
500006,1154,2025-12-07,4.9,54,Weekend
500007,1866,2026-02-08,6.9,53,Weekend
500008,1742,2026-01-16,9.1,61,Weekday
500009,2851,2026-02-22,7.3,64,Weekend
500010,2425,2025-12-25,8.7,71,Weekday
500011,1224,2026-01-07,8.4,74,Weekday
500012,1216,2026-03-01,9.0,76,Weekend
500013,1030,2026-02-18,11.0,73,Weekday
500014,2892,2025-12-17,4.7,79,Weekday
500015,2082,2026-01-22,2.1,59,Weekday
500016,2915,2026-01-20,8.7,47,Weekday
500017,1897,2025-12-30,12.5,75,Weekday
500018,1444,2026-01-25,7.2,68,Weekend
500019,2258,2026-02-25,3.8,57,Weekday
500020,2130,2026-01-25,8.1,63,Weekend
500021,2214,2026-01-09,2.3,70,Weekday
500022,3015,2026-01-27,7.2,60,Weekday
500023,2936,2025-12-20,1.5,59,Weekend
500024,1737,2025-12-07,5.1,53,Weekend
500025,2702,2026-01-20,13.1,73,Weekday
500026,1873,2026-01-05,3.2,85,Weekday
500027,1565,2026-01-13,8.1,70,Weekday
500028,3018,2026-01-26,8.6,71,Weekday
500029,2885,2026-01-06,4.0,66,Weekday
500030,3123,2025-12-16,11.4,58,Weekday
500031,1546,2026-01-07,5.3,66,Weekday
500032,3314,2026-01-24,6.9,67,Weekend
500033,1316,2026-02-20,6.6,71,Weekday
500034,2859,2025-12-09,8.9,65,Weekday
500035,1024,2025-12-14,13.9,75,Weekend
500036,1159,2026-02-19,4.3,72,Weekday
500037,2137,2026-02-08,7.8,67,Weekend
500038,1899,2026-02-03,10.2,65,Weekday
500039,2189,2026-01-21,3.9,60,Weekday
500040,1702,2025-12-25,5.8,64,Weekday
500041,1000,2026-03-01,9.3,56,Weekend
500042,2922,2026-02-22,5.0,74,Weekend
500043,3367,2026-02-06,5.4,70,Weekday
500044,2424,2025-12-09,0.5,72,Weekday
500045,1381,2025-12-27,4.6,84,Weekend
500046,2741,2026-01-16,2.0,66,Weekday
500047,2826,2026-02-22,6.7,65,Weekend
500048,2273,2026-01-17,0.8,67,Weekend
500049,2548,2025-12-21,5.6,73,Weekend
500050,2578,2026-01-15,7.2,72,Weekday
500051,1897,2026-02-25,6.3,65,Weekday
500052,1716,2025-12-30,8.6,55,Weekday
500053,3354,2026-01-15,8.3,62,Weekday
500054,1390,2025-12-12,2.5,75,Weekday
500055,2699,2025-12-02,6.7,60,Weekday
500056,3345,2025-12-10,0.9,68,Weekday
500057,1232,2026-02-21,6.3,81,Weekend
500058,2926,2025-12-02,4.4,61,Weekday
500059,3318,2026-02-08,5.8,65,Weekend
500060,2319,2026-01-25,5.9,41,Weekend
500061,1705,2026-02-15,8.1,59,Weekend
500062,1233,2025-12-25,6.6,68,Weekday
500063,2391,2025-12-31,5.0,53,Weekday
500064,2255,2026-02-22,0.9,62,Weekend
500065,2896,2026-01-09,8.6,73,Weekday
500066,1889,2026-01-10,3.1,56,Weekend
500067,1591,2026-01-29,2.3,58,Weekday
500068,1745,2026-01-23,3.7,70,Weekday
500069,2719,2026-02-24,9.2,64,Weekday
500070,1427,2025-12-24,6.4,63,Weekday
500071,1731,2025-12-04,8.4,59,Weekday
500072,1799,2026-02-12,3.7,68,Weekday
500073,3411,2025-12-15,6.1,56,Weekday
500074,1201,2026-01-01,12.1,63,Weekday
500075,3193,2025-12-07,5.9,68,Weekend
500076,1835,2025-12-02,3.8,65,Weekday
500077,1134,2026-02-14,5.2,70,Weekend
500078,2287,2026-01-25,8.2,73,Weekend
500079,3111,2026-02-24,10.8,57,Weekday
500080,1040,2025-12-19,0.5,76,Weekday
500081,1912,2026-02-27,6.2,71,Weekday
500082,2729,2026-02-09,5.1,67,Weekday
500083,1974,2026-01-04,5.8,65,Weekend
500084,2133,2026-02-11,4.2,66,Weekday
500085,3415,2025-12-18,4.2,81,Weekday
500086,2459,2026-01-01,3.4,76,Weekday
