user_id,age,gender,occupation,productivity_score
1000,22,Female,Data Analyst,9.7
1001,35,Male,Other,4.7
1002,44,Other,Software Engineer,6.5
1003,30,Male,Marketing Specialist,9.2
1004,26,Male,Student,8.3
1005,23,Male,Data Analyst,6.3
1006,44,Male,Designer,9.4
1007,36,Female,Software Engineer,3.4
1008,22,Male,Designer,9.3
1009,41,Female,Software Engineer,3.3
1010,34,Male,Software Engineer,6.7
1011,38,Male,Marketing Specialist,9.1
1012,26,Female,Marketing Specialist,4.8
1013,26,Female,Marketing Specialist,6.2
1014,39,Male,Other,5.2
1015,36,Male,Student,9.5
1016,19,Male,Software Engineer,8.6
1017,23,Female,Data Analyst,7.8
1018,39,Female,Designer,7.0
1019,18,Male,Marketing Specialist,8.6
1020,37,Female,Other,5.7
1021,36,Female,Marketing Specialist,6.0
1022,17,Female,Designer,8.0
1023,39,Female,Designer,5.4
1024,27,Male,Software Engineer,3.4
1025,21,Male,Marketing Specialist,3.5
1026,17,Male,Designer,3.8
1027,43,Male,Student,8.9
1028,36,Female,Student,6.2
1029,16,Female,Marketing Specialist,7.8
1030,27,Male,Other,5.7
1031,41,Male,Designer,4.8
1032,37,Male,Software Engineer,5.4
1033,44,Female,Software Engineer,8.4
1034,27,Male,Other,7.3
1035,40,Female,Software Engineer,9.4
1036,32,Male,Student,7.6
1037,42,Male,Marketing Specialist,6.9
1038,42,Other,Software Engineer,7.1
1039,25,Other,Student,9.4
1040,43,Male,Designer,8.4
1041,43,Female,Data Analyst,3.2
1042,31,Female,Other,6.6
1043,30,Female,Data Analyst,7.7
1044,30,Male,Software Engineer,8.1
1045,34,Female,Data Analyst,4.4
1046,27,Female,Data Analyst,8.9
1047,38,Female,Student,9.5
1048,35,Male,Student,4.6
1049,40,Male,Other,9.0
1050,18,Male,Student,3.7
1051,20,Female,Student,3.4
1052,34,Male,Student,3.9
1053,22,Female,Data Analyst,3.4
1054,36,Other,Marketing Specialist,8.7
1055,24,Male,Designer,3.4
1056,22,Female,Designer,4.8
1057,33,Male,Data Analyst,3.7
1058,19,Female,Designer,5.0
1059,40,Male,Student,3.6
1060,43,Female,Student,7.5
1061,29,Female,Designer,3.9
1062,33,Female,Other,8.8
1063,41,Female,Data Analyst,8.6
1064,24,Female,Marketing Specialist,3.1
1065,41,Female,Data Analyst,9.1
1066,36,Female,Software Engineer,3.2
1067,17,Female,Data Analyst,4.6
1068,35,Male,Student,3.2
1069,43,Female,Student,5.3
1070,30,Female,Student,6.5
1071,43,Female,Other,8.4
1072,22,Male,Designer,5.3
1073,27,Female,Student,7.8
1074,44,Male,Software Engineer,4.3
1075,23,Female,Student,8.1
1076,30,Male,Data Analyst,4.6
1077,18,Female,Student,4.0
1078,29,Other,Student,4.3
1079,32,Male,Other,4.2
1080,19,Other,Software Engineer,6.5
1081,33,Male,Data Analyst,8.7
1082,23,Female,Marketing Specialist,3.5
1083,19,Female,Other,7.8
1084,17,Female,Marketing Specialist,7.4
1085,21,Female,Other,8.9
1086,37,Female,Student,4.7
1087,25,Male,Other,6.1
1088,19,Male,Designer,9.3
1089,37,Female,Student,7.5
1090,44,Female,Student,5.6
1091,33,Female,Software Engineer,3.9
1092,41,Female,Marketing Specialist,4.8
1093,27,Male,Other,7.0
1094,17,Female,Student,7.9
1095,25,Male,Software Engineer,3.8
1096,19,Female,Designer,7.1
1097,29,Male,Software Engineer,6.7
1098,31,Male,Student,6.5
1099,30,Male,Designer,7.7
1100,23,Male,Software Engineer,8.7
1101,29,Female,Designer,5.2
1102,38,Male,Other,9.0
1103,43,Male,Other,4.1
1104,40,Male,Student,4.2
1105,23,Male,Student,4.8
1106,36,Male,Designer,3.8
1107,31,Male,Data Analyst,4.6
1108,28,Female,Student,3.7
1109,33,Female,Software Engineer,8.6
1110,30,Female,Software Engineer,3.9
1111,36,Male,Data Analyst,8.1
1112,39,Male,Data Analyst,3.3
1113,41,Female,Data Analyst,9.4
1114,40,Female,Marketing Specialist,7.8
1115,43,Male,Marketing Specialist,3.0
1116,43,Male,Designer,8.2
1117,43,Male,Marketing Specialist,6.5
1118,28,Male,Other,8.3
1119,24,Male,Other,6.6
1120,44,Female,Student,7.4
1121,30,Female,Designer,8.3
1122,28,Female,Software Engineer,5.8
1123,16,Female,Student,3.0
1124,40,Female,Student,8.8
1125,22,Female,Software Engineer,5.6
1126,24,Female,Software Engineer,6.4
1127,39,Male,Designer,3.1
1128,16,Male,Data Analyst,6.3
1129,27,Male,Data Analyst,9.7
1130,23,Female,Student,4.9
1131,39,Female,Data Analyst,5.7
1132,26,Male,Software Engineer,7.7
1133,34,Female,Data Analyst,8.5
1134,32,Male,Marketing Specialist,5.8
1135,23,Female,Data Analyst,5.1
1136,18,Male,Software Engineer,9.4
1137,18,Male,Designer,7.6
1138,16,Female,Student,3.8
1139,42,Male,Student,3.5
1140,20,Male,Data Analyst,6.3
1141,25,Male,Other,4.5
1142,22,Female,Other,4.7
1143,41,Female,Software Engineer,9.0
1144,24,Male,Student,3.6
1145,43,Female,Student,7.9
1146,22,Female,Marketing Specialist,4.8
1147,24,Male,Student,8.2
1148,23,Male,Other,7.9
1149,27,Male,Designer,3.1
1150,17,Male,Software Engineer,6.5
1151,16,Female,Software Engineer,3.9
1152,31,Male,Data Analyst,8.9
1153,38,Female,Data Analyst,8.9
1154,38,Female,Data Analyst,5.8
1155,39,Male,Other,6.0
1156,20,Female,Other,5.1
1157,18,Male,Other,7.9
1158,27,Other,Other,5.4
1159,23,Female,Other,4.8
1160,37,Female,Other,5.9
1161,42,Female,Designer,3.6
1162,18,Male,Other,8.1
1163,16,Female,Student,3.1
1164,18,Female,Student,7.4
1165,20,Female,Marketing Specialist,4.2
1166,30,Female,Designer,4.6
1167,29,Female,Data Analyst,7.3
1168,18,Male,Student,9.8
1169,16,Male,Other,8.3
1170,20,Female,Marketing Specialist,4.5
1171,41,Male,Student,4.2
1172,38,Female,Student,8.9
1173,29,Female,Marketing Specialist,6.0
1174,22,Male,Marketing Specialist,3.9
1175,42,Male,Software Engineer,8.9
1176,24,Female,Student,8.5
1177,30,Male,Student,9.7
1178,30,Female,Designer,9.2
1179,41,Male,Marketing Specialist,8.8
1180,25,Female,Other,3.4
1181,43,Male,Student,3.7
1182,28,Female,Marketing Specialist,6.9
1183,34,Male,Designer,6.6
1184,22,Female,Other,6.1
1185,32,Male,Designer,5.7
